id,pattern,reward
Prof Ellis38,"['d', 'w', 'a', 'd', 'w', 'd', 'a', 'd', 'd', 'd', 'a', 'd', 'd', 'a', 'a', 'w', 'd', 'w', 'd', 'w', 'd', 'd', 'd', 'd', 'a', 'a', 'd', 'd', 'a', 'w', 'w', 'w', 'a', 'a', 'd', 'd', 'w', 'a', 'd', 'a']",0
Prof Ellis39,"['w', 'd', 'a', 'w', 'a', 'd', 'a', 'a', 'd', 'a', 'w', 'd', 'a', 'd', 'w', 'd', 'd', 'a', 'w', 'd', 'd', 'd', 'd', 'd', 'a', 'a', 'd', 'w', 'a', 'a', 'a', 'a', 'w', 'a', 'a', 'a', 'd', 'd', 'a', 'd']",-0.5
Prof Ellis40,"['w', 'd', 'a', 'w', 'd', 'a', 'a', 'd', 'a', 'a', 'd', 'a', 'w', 'd', 'a', 'a', 'd', 'a', 'd', 'w', 'w', 'd', 'd', 'w', 'd', 'w', 'w', 'w', 'w', 'd', 'a', 'a', 'w', 'w', 'w', 'd', 'w', 'a', 'd', 'd']",-0.5
Prof Ellis41,"['d', 'w', 'w', 'a', 'd', 'w', 'd', 'd', 'w', 'a', 'a', 'w', 'w', 'd', 'd', 'w', 'd', 'w', 'd', 'w', 'd', 'a', 'd', 'd', 'd', 'a', 'd', 'd', 'd', 'a', 'd', 'w', 'a', 'w', 'd', 'w', 'd', 'w', 'd', 'w']",81.0
Prof Ellis42,"['a', 'd', 'd', 'd', 'd', 'd', 'd', 'a', 'd', 'w', 'd', 'a', 'a', 'a', 'w', 'd', 'd', 'd', 'w', 'd', 'd', 'w', 'a', 'w', 'a', 'a', 'w', 'd', 'a', 'a', 'a', 'd', 'a', 'd', 'w', 'd', 'w', 'w', 'a', 'd']",0
Prof Ellis43,"['a', 'd', 'w', 'w', 'w', 'a', 'a', 'w', 'a', 'd', 'w', 'w', 'd', 'd', 'd', 'd', 'd', 'a', 'w', 'd', 'd', 'w', 'd', 'd', 'a', 'a', 'w', 'd', 'w', 'a', 'w', 'd', 'w', 'w', 'w', 'a', 'd', 'w', 'd', 'a']",0
Prof Ellis44,"['w', 'a', 'a', 'a', 'd', 'd', 'a', 'a', 'a', 'a', 'd', 'a', 'w', 'd', 'a', 'w', 'a', 'd', 'a', 'w', 'a', 'w', 'd', 'd', 'd', 'd', 'd', 'a', 'd', 'w', 'w', 'd', 'w', 'a', 'w', 'd', 'a', 'a', 'a', 'w']",0
Prof Ellis45,"['d', 'd', 'd', 'a', 'd', 'w', 'a', 'w', 'a', 'a', 'w', 'a', 'w', 'a', 'w', 'a', 'w', 'a', 'a', 'd', 'w', 'a', 'a', 'w', 'd', 'd', 'd', 'd', 'w', 'w', 'a', 'd', 'a', 'a', 'a', 'a', 'd', 'a', 'd', 'a']",0
Prof Ellis46,"['d', 'd', 'w', 'd', 'w', 'd', 'a', 'd', 'd', 'd', 'd', 'd', 'a', 'd', 'd', 'w', 'w', 'w', 'a', 'a', 'w', 'w', 'd', 'a', 'd', 'w', 'd', 'a', 'w', 'w', 'w', 'w', 'a', 'a', 'a', 'a', 'w', 'w', 'a', 'd']",-0.5
Prof Ellis47,"['a', 'w', 'd', 'd', 'd', 'a', 'w', 'a', 'a', 'd', 'w', 'w', 'a', 'a', 'a', 'w', 'a', 'w', 'w', 'a', 'w', 'a', 'a', 'w', 'w', 'a', 'w', 'd', 'a', 'w', 'a', 'w', 'a', 'a', 'd', 'd', 'w', 'w', 'a', 'a']",94.5
Prof Ellis48,"['w', 'd', 'a', 'w', 'd', 'd', 'a', 'd', 'd', 'w', 'w', 'd', 'w', 'a', 'w', 'd', 'w', 'd', 'a', 'w', 'd', 'a', 'w', 'a', 'w', 'd', 'd', 'd', 'a', 'd', 'w', 'w', 'a', 'd', 'w', 'w', 'a', 'd', 'w', 'd']",95.0
Prof Ellis49,"['d', 'd', 'w', 'd', 'w', 'd', 'd', 'a', 'd', 'a', 'd', 'd', 'w', 'a', 'd', 'w', 'a', 'd', 'w', 'a', 'd', 'a', 'w', 'd', 'a', 'w', 'a', 'a', 'w', 'd', 'a', 'w', 'd', 'a', 'd', 'd', 'a', 'd', 'a', 'a']",-0.5
